line_id,navn,eier,voltage_kv,geod_km,nve_layer,osm_covered_frac,driftsattaar,snap0,snap1,bus0,bus1
nve/transmisjon_luft/1000382,Varangerbotn - Ivalo,STATNETT SF,220.0,28.701559407152327,transmisjon_luft,0.08041958041958042,,existing,unsnapped,st0031391_220kV,
nve/transmisjon_luft/1711652,LEIVDAL - VESTRE ÅSKÅRA,LINJA AS,132.0,1.8837410775558197,transmisjon_luft,0.0,1965.0,nve_junction,unsnapped,nve_jn_0000_132,
nve/transmisjon_luft/1711653,LEIVDAL - VESTRE ÅSKÅRA,LINJA AS,132.0,0.8264972074883126,transmisjon_luft,0.0,1965.0,nve_junction,nve_junction,nve_jn_0001_132,nve_jn_0000_132
nve/transmisjon_luft/1711654,LEIVDAL - VESTRE ÅSKÅRA,LINJA AS,132.0,10.588970972441498,transmisjon_luft,0.215962441314554,1965.0,existing,nve_junction,st0012498_132kV,nve_jn_0001_132
nve/transmisjon_luft/1711703,M 132 MOSKOG - HØYANGER (MIDLERTIDIG),LINJA AS,132.0,25.072034139887084,transmisjon_luft,0.005988023952095809,1966.0,existing,unsnapped,st0012676_132kV,
nve/transmisjon_luft/1711986,132 HAUGEN-LEIVDAL,LINJA AS,132.0,8.793600518249796,transmisjon_luft,0.24431818181818182,1966.0,nve_junction,existing,nve_jn_0002_132,st0023397_132kV
nve/transmisjon_luft/1711987,132 HAUGEN-LEIVDAL,LINJA AS,132.0,19.941307928442455,transmisjon_luft,0.38596491228070173,1966.0,existing,nve_junction,st0029874_132kV,nve_jn_0002_132
nve/transmisjon_luft/1712160,132 HYDRO HØYANGER-MOSKOG,LINJA AS,145.0,33.993400984940564,transmisjon_luft,0.18382352941176472,1966.0,unsnapped,unsnapped,,
nve/regionalnett_luft/5246,,GLITRE NETT AS,50.0,0.34283771269677465,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0003_50,nve_jn_0005_50
nve/regionalnett_luft/17612,,GLITRE NETT AS,50.0,1.3543541920737583,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0032_50,nve_jn_0024_50
nve/regionalnett_luft/22445,,GLITRE NETT AS,50.0,1.493367855470996,regionalnett_luft,0.0,,new_nve,nve_junction,,nve_jn_0009_50
nve/regionalnett_luft/38185,,GLITRE NETT AS,132.0,10.062358371374982,regionalnett_luft,0.25742574257425743,,existing,existing,st0029944_132kV,st0023527_132kV
nve/regionalnett_luft/64915,,GLITRE NETT AS,50.0,0.3850891129266092,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0023_50,nve_jn_0003_50
nve/regionalnett_luft/117724,,GLITRE NETT AS,50.0,1.2667461690613144,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0033_50,nve_jn_0007_50
nve/regionalnett_luft/126617,,GLITRE NETT AS,50.0,29.24252630499402,regionalnett_luft,0.12286689419795221,,nve_junction,nve_junction,nve_jn_0026_145,nve_jn_0054_145
nve/regionalnett_luft/147013,Granvin-Ulvik,BKK AS,50.0,11.9719706522154,regionalnett_luft,0.03734439834024896,1974.0,nve_junction,unsnapped,nve_jn_0017_50,
nve/regionalnett_luft/155472,,GLITRE NETT AS,50.0,4.663634948598237,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0021_50,nve_jn_0011_50
nve/regionalnett_luft/183558,,GLITRE NETT AS,132.0,9.82541605723566,regionalnett_luft,0.08629441624365482,,existing,existing,st0023342_132kV,st0023343_132kV
nve/regionalnett_luft/206911,,GLITRE NETT AS,50.0,0.4290418715016259,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0012_50,nve_jn_0040_50
nve/regionalnett_luft/238700,Hodnaberg-Kaldestad,BKK AS,50.0,13.352232796520546,regionalnett_luft,0.0,1959.0,nve_junction,nve_junction,nve_jn_0036_50,nve_jn_0004_50
nve/regionalnett_luft/277846,,INDRE HORDALAND KRAFTNETT AS,50.0,0.3994760127656716,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0014_50,nve_jn_0010_50
nve/regionalnett_luft/284209,,GLITRE NETT AS,50.0,7.537073353846073,regionalnett_luft,0.0,,unsnapped,nve_junction,,nve_jn_0020_50
nve/regionalnett_luft/301908,,GLITRE NETT AS,132.0,4.733207823221776,regionalnett_luft,0.07368421052631578,,existing,existing,st0012446_132kV,st0023342_132kV
nve/regionalnett_luft/345062,Fosse-Kaldestad,BKK AS,50.0,8.80323295868985,regionalnett_luft,0.03389830508474576,1958.0,nve_junction,nve_junction,nve_jn_0004_50,nve_jn_0019_50
nve/regionalnett_luft/399711,,GLITRE NETT AS,50.0,26.867754872438947,regionalnett_luft,0.0260707635009311,,nve_junction,new_nve,nve_jn_0031_50,
nve/regionalnett_luft/434309,,GLITRE NETT AS,50.0,1.509253768573517,regionalnett_luft,0.0,,new_nve,nve_junction,,nve_jn_0009_50
nve/regionalnett_luft/496413,,GLITRE NETT AS,50.0,28.377008641012452,regionalnett_luft,0.022887323943661973,,new_nve,new_nve,,
nve/regionalnett_luft/546627,,GLITRE NETT AS,50.0,1.3911682642941494,regionalnett_luft,0.10714285714285714,,new_nve,nve_junction,,nve_jn_0009_50
nve/regionalnett_luft/561186,,GLITRE NETT AS,50.0,7.370885257086524,regionalnett_luft,0.02702702702702703,,nve_junction,nve_junction,nve_jn_0005_50,nve_jn_0037_50
nve/regionalnett_luft/573710,,GLITRE NETT AS,50.0,1.6339852298232924,regionalnett_luft,0.0,,new_nve,nve_junction,,nve_jn_0006_50
nve/regionalnett_luft/581773,,INDRE HORDALAND KRAFTNETT AS,50.0,14.29945666898446,regionalnett_luft,0.0,,nve_junction,nve_junction,nve_jn_0042_50,nve_jn_0043_50
